field,value
Rate Vor-Ort,€100/h (excl. VAT)
Rate Remote,€90/h (excl. VAT)
Anteil Vor-Ort,5 %
Anteil Remote,95 %
Verfügbarkeit,from 15 September 2026
Einsatzort,worldwide
