highlight
"**~16 Jahre Fullstack-Erfahrung** (seit 2009), durchgehend als Freelancer."
"**Java/Spring-Boot-Microservices** mit Vue.js- und React-Frontends — end-to-end mit Docker, Kubernetes und GitLab CI."
"**Konsequent testgetrieben** (TDD, JUnit, Mockito, Playwright/Selenium)."
"**Zweites Standbein Data Science & Machine Learning** — Udacity ML Engineer & Data Analyst, Kaggle, Autor auf Towards Data Science."
"**Breite Branchenerfahrung:** Bank/Finanz, Versicherung, Automobil, Telekommunikation, Touristik, Industrie, Einzelhandel, Marketing und Startups."
